"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES","exp","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON","NB_CLUB","TOP_50","TOP_50_150","top_restant","France U16","France U17","France U18","France U19","France U20","France U21","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","U19_NB_BUT","U19_NB_MATCH_JOUE","U19_NB_MIN_JOUE","U19_TITULARISATION","U20_NB_BUT","U20_NB_MATCH_JOUE","U20_NB_MIN_JOUE","U20_TITULARISATION","U21_NB_BUT","U21_NB_MATCH_JOUE","U21_NB_MIN_JOUE","U21_TITULARISATION","Y"
1116,"Milieu",1,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","PEM - PEM CASTELMAUROU",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00026,8.87,5,"1","1","0",0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,180,2,NA,NA,NA,NA,1,4,175,2,NA,NA,NA,NA,0
1125,"Milieu",7,"France","CFM - CENTRE DE FORMATION LA BERRICHONNE DE CHATEAUROUX","aucun",0,0,13.63,13.63,13.63,13.63,13.63,13.63,NA,NA,NA,NA,0.00019,10.44,4,"0","0","1",0,1,0,0,0,0,NA,NA,NA,NA,NA,4,264,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1131,"Milieu",1,"Comores","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00018,5.35,5,"1","0","1",0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,270,3,NA,3,118,2,1,7,317,3,NA,NA,NA,NA,0
1134,"Milieu",2,"France","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e-05,11.39,2,"0","1","1",0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1135,"Defenseur",7,"France","CFM - CENTRE DE FORMATION NIMES OLYMPIQUE","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e-05,6.1,4,"1","0","1",0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,180,2,NA,NA,NA,NA,NA,1,83,1,0
1138,"Defenseur",12,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","aucun",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-05,10.03,5,"1","1","1",0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,340,4,NA,NA,NA,NA,1
1152,"Defenseur",12,"France","aucun","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,9.25,4,"0","1","1",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90,1,0
1154,"Attaquant",6,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,0,0,0,0,0,NA,1,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1156,"Attaquant",4,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","PEM - PEM CASTELMAUROU",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00036,7.93,8,"1","0","1",0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,236,2,NA,NA,NA,NA,NA,NA,NA,NA,0
1157,"Attaquant",1,"Gabon","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00014,3.71,5,"0","1","1",1,1,1,0,0,0,2,6,381,4,NA,2,43,NA,NA,1,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1160,"Gardien de But",9,"France","CFM - CENTRE DE FORMATION LA BERRICHONNE DE CHATEAUROUX","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11.96,3,"0","0","1",0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,360,4,NA,NA,NA,NA,0
1167,"Milieu",7,"France","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",0,0,14.05,14.05,14.2,14.05,15.24,15.24,NA,NA,NA,13.91,9e-05,9.34,3,"1","0","0",0,1,0,1,0,0,NA,NA,NA,NA,NA,4,216,2,NA,NA,NA,NA,NA,2,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1170,"Attaquant",2,"France","aucun","aucun",1,1,NA,17.5,17.5,17.5,NA,NA,17.5,17.5,17.5,NA,0.00087,3.85,5,"1","0","1",1,0,1,0,0,0,1,9,421,6,NA,NA,NA,NA,NA,3,116,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1172,"Milieu",4,"France","CFM - CENTRE DE FORMATION CLERMONT FOOT 63","aucun",0,0,9.11,12.02,13.47,12.02,13.16,13.16,13.47,12.02,12.02,9.11,0.00022,10.82,3,"0","1","1",0,1,0,0,0,0,NA,NA,NA,NA,NA,1,72,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1179,"Attaquant",3,"Guinée","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",0,1,NA,12.86,12.86,12.86,8.33,8.33,12.86,12.86,12.86,NA,0.00019,9.3,2,"0","0","1",1,1,0,0,0,0,3,15,806,9,NA,14,597,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1180,"Milieu",3,"France","aucun","aucun",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e-05,10.27,2,"1","1","0",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1181,"Defenseur",12,"France","CFM - CENTRE DE FORMATION F.C. LORIENT","PEM - PEM GUADELOUPE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9e-05,16.87,3,"0","0","1",0,1,0,0,0,0,NA,NA,NA,NA,NA,1,90,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1184,"Attaquant",6,"France","CFM - CENTRE DE FORMATION AMIENS SP.C. PICARDIE","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00042,7.65,5,"1","0","1",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1,10,355,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1203,"Milieu",2,"Tunisie","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,15.47,16.29,16.78,16.29,16.29,16.29,16.78,16.28,16.29,15.96,4e-04,9.63,2,"1","0","0",1,0,0,0,0,0,NA,1,67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1206,"Milieu",1,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00044,3.12,3,"1","0","1",1,1,1,1,0,0,1,11,774,9,2,16,1253,16,1,9,676,8,1,9,672,8,NA,NA,NA,NA,NA,NA,NA,NA,0
1210,"Defenseur",3,"Sénégal","CFM - CENTRE DE FORMATION VALENCIENNES F.C.","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e-05,11.19,4,"0","0","1",0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,64,1,NA,8,614,7,NA,11,893,10,0
1220,"Milieu",12,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",1,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,7e-05,6.01,5,"1","1","1",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,170,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1228,"Milieu",9,"France","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",0,1,14.28,11.16,8.82,11.16,11.16,11.16,8.82,11.16,11.16,14.28,0.00014,12.58,1,"1","0","0",1,0,0,0,0,0,NA,4,188,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1233,"Gardien de But",1,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","PEM - PEM CASTELMAUROU",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10.83,3,"1","1","0",1,1,1,1,1,1,NA,5,450,5,NA,2,180,2,NA,4,360,4,NA,5,450,5,NA,7,630,7,NA,14,1260,14,1
1236,"Milieu",4,"France","CFM - CENTRE DE FORMATION ST. MALHERBE CAEN-CALV.B.NORM.","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00043,17.56,2,"0","1","0",1,0,0,0,0,0,NA,4,225,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1239,"Attaquant",9,"France","CFM - CENTRE DE FORMATION AMIENS SP.C. PICARDIE","PEM - PEM CLAIREFONTAINE",0,1,14.64,14.23,15.09,14.23,15.09,15.09,13.81,13.08,13.08,11.63,0.00033,7.91,6,"1","0","1",1,0,0,0,0,0,NA,2,77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1250,"Milieu",11,"France","CFM - CENTRE DE FORMATION DIJON FOOTBALL CÔTE D'OR","aucun",0,1,13.43,13.43,13.43,13.43,13.43,13.43,NA,NA,NA,NA,6e-05,8.42,2,"0","0","1",0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,162,2,NA,10,705,8,NA,NA,NA,NA,0
1251,"Attaquant",4,"France","CFM - CENTRE DE FORMATION A.J. AUXERROISE","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00032,8.34,5,"1","0","1",0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,89,1,NA,NA,NA,NA,0
1252,"Attaquant",12,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00037,5.91,4,"1","1","0",1,1,1,1,0,1,8,17,905,9,1,13,829,11,4,4,287,4,NA,5,313,4,NA,NA,NA,NA,4,12,734,8,1
1253,"Milieu",2,"France","aucun","aucun",0,0,NA,12.2,12.2,12.2,13.76,13.76,12.2,12.2,12.2,NA,8e-05,7.41,4,"1","0","1",1,0,1,0,0,0,1,10,451,4,NA,NA,NA,NA,NA,3,108,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1256,"Attaquant",6,"France","CFM - CENTRE DE FORMATION CHAMOIS NIORTAIS F.C.","aucun",0,1,18.48,14.79,14.79,14.79,18.48,18.48,11.09,11.09,11.09,NA,0.00065,9.46,2,"1","0","1",0,1,0,0,0,0,NA,NA,NA,NA,NA,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1261,"Attaquant",12,"France","CFM - CENTRE DE FORMATION LA BERRICHONNE DE CHATEAUROUX","aucun",0,1,15.52,14.79,14.79,14.79,15.52,15.52,13.32,13.32,13.32,NA,2e-04,8.75,3,"1","0","0",0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1262,"Milieu",2,"France","CFM - ACADEMY AS MONACO FC","PEM - PEM AIX EN PROVENCE",0,1,NA,14.19,14.2,14.19,14.25,14.25,14.2,14.19,14.19,14.15,3e-05,9.2,4,"0","1","1",1,0,0,0,0,0,NA,4,178,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1272,"Milieu",3,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-05,5.41,3,"1","0","0",0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,117,1,1,6,314,3,0
1284,"Attaquant",2,"France","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","PEM - PEM AIX EN PROVENCE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00045,12.58,3,"0","1","1",1,0,0,0,0,0,NA,3,105,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1290,"Milieu",6,"Maroc","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00031,7.35,4,"1","1","1",0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,94,1,3,7,275,3,NA,2,29,NA,4,13,729,9,0
1294,"Milieu",10,"France","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00036,11.54,3,"1","0","1",0,1,0,0,0,0,NA,NA,NA,NA,NA,14,636,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1295,"Attaquant",8,"France","aucun","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00025,7.19,6,"1","1","1",0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,367,4,NA,NA,NA,NA,0
1299,"Attaquant",12,"France","CFM - ACADEMY AS MONACO FC","PEM - PEM CLAIREFONTAINE",7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00103,7.71,3,"1","1","0",0,1,0,1,0,0,NA,NA,NA,NA,NA,2,109,1,NA,NA,NA,NA,NA,11,778,10,NA,NA,NA,NA,NA,NA,NA,NA,1
1305,"Defenseur",3,"France","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-05,8.86,9,"1","0","1",1,1,0,1,0,0,NA,13,1077,12,NA,10,827,9,NA,NA,NA,NA,NA,8,503,4,NA,NA,NA,NA,NA,NA,NA,NA,0
1312,"Defenseur",3,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","PEM - PEM CLAIREFONTAINE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,9.12,5,"1","1","0",0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,NA,NA,NA,NA,NA,0
1313,"Attaquant",1,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,NA,NA,17.49,17.49,17.49,17.49,NA,NA,NA,17.49,0.00099,10.66,3,"1","0","0",1,0,0,0,0,0,NA,4,166,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1316,"Defenseur",1,"France","CFM - ACADEMY AS MONACO FC","aucun",0,0,NA,14.01,14.01,14.01,NA,NA,NA,NA,NA,14.01,7e-05,14.03,2,"0","1","0",1,0,0,0,0,0,1,1,90,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1321,"Defenseur",1,"France","CFM - ACADEMY AS MONACO FC","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-05,29.26,2,"0","0","1",1,1,0,1,0,0,NA,7,558,6,NA,11,650,9,NA,NA,NA,NA,NA,5,406,5,NA,NA,NA,NA,NA,NA,NA,NA,0
1324,"Defenseur",3,"France","CFM - CENTRE DE FORMATION F.C. LORIENT","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,10.53,6,"1","0","1",0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,630,7,NA,3,192,2,NA,NA,NA,NA,NA,NA,NA,NA,0
1338,"Attaquant",4,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,0,0,0,0,0,NA,1,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1339,"Milieu",3,"France","CFM - CENTRE DE FORMATION CLERMONT FOOT 63","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00011,13.31,2,"0","0","1",0,1,1,0,0,0,NA,NA,NA,NA,NA,2,116,2,1,3,120,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1345,"Attaquant",1,"France","CFM - CENTRE DE FORMATION ESPER. TROYES AUBE CHAMPAGNE","aucun",0,0,12.52,16.74,14.22,16.74,19.55,19.55,16.78,16.74,16.74,16.74,0.00047,9.72,3,"1","0","0",0,1,0,0,0,0,NA,NA,NA,NA,NA,2,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1346,"Attaquant",8,"France","aucun","aucun",0,1,14.71,14.71,14.71,14.71,14.71,14.71,NA,NA,NA,NA,0.00038,6.47,7,"1","1","1",1,0,1,1,1,0,NA,2,78,1,NA,NA,NA,NA,3,7,459,5,3,9,465,7,NA,10,359,3,NA,NA,NA,NA,0
1354,"Defenseur",1,"Cameroun","CFM - CENTRE DE FORMATION A.J. AUXERROISE","PEM - PEM CLAIREFONTAINE",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e-05,8.44,5,"1","1","1",1,1,1,1,1,0,1,9,713,8,NA,10,708,6,NA,1,14,NA,NA,2,134,1,NA,3,199,2,NA,NA,NA,NA,0
1363,"Defenseur",6,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,7.32,7,"1","1","1",0,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,79,1,NA,1,90,1,NA,NA,NA,NA,NA,1,18,NA,0
1366,"Defenseur",5,"France","CFM - CENTRE DE FORMATION R.C. STRASBOURG ALSACE","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-05,8.49,3,"1","0","1",0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,168,2,NA,7,342,4,0
1371,"Gardien de But",8,"Cote d'ivoire","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",0,0,13.86,13.86,13.86,13.86,13.86,13.86,NA,13.86,NA,NA,0,6.21,2,"0","1","1",1,1,1,1,0,1,NA,5,373,4,NA,2,180,2,NA,9,810,9,NA,4,360,4,NA,NA,NA,NA,NA,1,90,1,0
1372,"Milieu",3,"France","CFM - CENTRE DE FORMATION ST. MALHERBE CAEN-CALV.B.NORM.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00031,10.17,5,"1","1","1",1,1,0,0,0,0,1,12,703,8,NA,1,90,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1373,"Milieu",4,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,1,0,0,0,0,NA,11,562,7,NA,5,238,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1380,"Defenseur",11,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-05,6.06,4,"1","0","0",0,1,1,1,1,1,NA,NA,NA,NA,NA,7,564,6,NA,7,584,6,NA,13,1200,13,NA,13,1116,13,1,7,575,7,1
1386,"Milieu",7,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","PEM - PEM CLAIREFONTAINE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e-05,12.56,2,"0","1","0",1,1,0,0,0,0,1,2,147,1,NA,3,173,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1387,"Attaquant",6,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","PEM - PEM CLAIREFONTAINE",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00042,6.8,3,"0","0","1",1,0,1,1,0,1,8,12,877,9,NA,NA,NA,NA,NA,3,128,1,1,4,254,3,NA,NA,NA,NA,1,7,256,2,0
1388,"Defenseur",5,"France","CFM - ACADEMY AS MONACO FC","PEM - PEM CLAIREFONTAINE",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04,6.63,5,"1","1","1",0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,180,2,NA,6,540,6,NA,NA,NA,NA,0
1389,"Defenseur",2,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","PEM - PEM CLAIREFONTAINE",0,1,5.44,5.44,NA,5.44,NA,NA,NA,5.44,5.44,5.44,5e-05,8.91,5,"1","0","1",1,0,0,0,0,0,NA,4,223,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1391,"Milieu",3,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00018,3.82,9,"1","1","1",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,213,2,1
1397,"Milieu",5,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",0,1,NA,17.29,17.29,17.29,17.29,17.29,17.29,17.29,17.29,NA,0.00011,9.79,2,"0","1","1",1,0,0,0,0,0,NA,5,235,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1403,"Defenseur",1,"France","CFM - LOSC LILLE ASSOCIATION","PEM - PEM SAINT-SEBASTIEN SUR LOIRE",1,0,18.36,15.87,14.63,15.87,15.03,15.03,14.63,14.63,14.63,18.36,2e-05,9.02,3,"1","0","1",1,0,0,0,0,0,NA,3,127,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1407,"Milieu",2,"France","CFM - CENTRE DE FORMATION MONTPELLIER HERAULT SP.C.","PEM - PEM CASTELMAUROU",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00032,12.45,3,"0","0","1",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1412,"Milieu",9,"France","aucun","aucun",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-05,5.68,5,"1","1","1",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
1419,"Milieu",1,"France","CFM - CENTRE DE FORMATION A.J. AUXERROISE","aucun",0,1,13.8,13.8,NA,13.8,13.8,13.8,NA,13.8,13.8,13.8,0.00013,7.88,4,"1","0","0",1,1,0,0,1,0,NA,7,384,3,NA,2,99,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,46,1,NA,NA,NA,NA,0
1420,"Milieu",4,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00031,4.44,7,"1","1","1",1,0,1,0,1,1,NA,2,109,1,NA,NA,NA,NA,3,5,263,2,NA,NA,NA,NA,1,4,234,3,NA,2,27,NA,0
1424,"Defenseur",2,"France","aucun","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9.52,6,"1","1","1",1,1,1,0,1,0,NA,7,414,5,2,16,1102,12,NA,11,862,9,NA,NA,NA,NA,NA,1,90,1,NA,NA,NA,NA,0
1425,"Attaquant",2,"France","CFM - CENTRE DE FORMATION LA BERRICHONNE DE CHATEAUROUX","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00095,16.09,3,"0","0","1",1,1,0,1,1,0,2,4,218,2,NA,2,87,1,NA,NA,NA,NA,1,8,301,2,2,5,220,3,NA,NA,NA,NA,0
1427,"Milieu",11,"France","CFM - CENTRE DE FORMATION A.J. AUXERROISE","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00025,7.57,7,"0","1","1",0,1,0,1,0,0,NA,NA,NA,NA,NA,2,87,1,NA,NA,NA,NA,NA,3,137,1,NA,NA,NA,NA,NA,NA,NA,NA,0
1429,"Defenseur",4,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","PEM - PEM PLOUFRAGAN",0,0,NA,11.25,11.25,11.25,NA,NA,11.25,11.25,11.25,NA,4e-05,8.54,2,"1","0","0",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,122,1,0
1430,"Attaquant",1,"Guadeloupe","CFM - CENTRE DE FORMATION EN AVANT GUINGAMP","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00038,7.49,5,"1","1","1",1,1,0,0,0,0,4,5,228,2,5,1,59,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
